date,strategy,equity,benchmark_equity,drawdown,regime
2022-03-15,full_v0,17092.08963356539,13720.476082073526,-0.06664173957336994,2022_rates_inflation_shock
2022-03-16,full_v0,17026.98470742269,13837.434934673654,-0.07019696435351741,2022_rates_inflation_shock
2022-03-17,full_v0,17371.69123104199,14196.808340152962,-0.05137336301859341,2022_rates_inflation_shock
2022-03-18,full_v0,17368.65722747993,14166.819224703282,-0.05153904271882459,2022_rates_inflation_shock
2022-03-21,full_v0,17740.661873090496,14432.93651564532,-0.03122475603173369,2022_rates_inflation_shock
2022-03-22,full_v0,17667.207007919616,14445.275783585732,-0.03523595107257449,2022_rates_inflation_shock
2022-03-23,full_v0,17914.624818478613,14666.554726919028,-0.02172505438218897,2022_rates_inflation_shock
2022-03-24,full_v0,17827.727082178157,14733.32416435361,-0.02647033256216813,2022_rates_inflation_shock
2022-03-25,full_v0,17887.994165095814,14816.190211395977,-0.023179290865163127,2022_rates_inflation_shock
2022-03-28,full_v0,17440.281356228414,14464.718181491076,-0.04762781982879383,2022_rates_inflation_shock
2022-03-29,full_v0,17474.916423131064,14433.885268987871,-0.04573648140926356,2022_rates_inflation_shock
2022-03-30,full_v0,17662.42175396373,14634.399890580547,-0.035497262381122496,2022_rates_inflation_shock
2022-03-31,full_v0,17466.106034175795,14528.288912919606,-0.04621759574257622,2022_rates_inflation_shock
2022-04-01,full_v0,17393.648615800295,14503.696058229196,-0.05017432259223842,2022_rates_inflation_shock
2022-04-04,full_v0,17456.628619476392,14663.498175034554,-0.04673513476131641,2022_rates_inflation_shock
2022-04-05,full_v0,17440.771683508894,14668.783771164528,-0.04760104422514566,2022_rates_inflation_shock
2022-04-06,full_v0,17451.468015666396,14642.835724868035,-0.04701694303041126,2022_rates_inflation_shock
2022-04-07,full_v0,17484.525221371186,14797.942743859358,-0.04521176784863623,2022_rates_inflation_shock
2022-04-08,full_v0,17600.61218657794,14869.119023363555,-0.03887253547702485,2022_rates_inflation_shock
2022-04-11,full_v0,17671.069689361368,14963.154999141589,-0.035025019249237066,2022_rates_inflation_shock
