date,strategy,gross_return,cash_return,transaction_cost,net_return,equity,drawdown,turnover,exposure,cash_weight
2020-08-21,model,-0.006770707521101645,3.7880178561081594e-05,0.0,-0.006732827342540564,15085.79551234551,-0.024710818959663094,0.0,0.7566321108044822,0.24336788919551777
2020-08-24,model,-0.003456854260204701,3.7880178561081594e-05,0.0,-0.00341897408164362,15034.217568487826,-0.028045307391747376,0.0,0.7566321108044822,0.24336788919551777
2020-08-25,model,0.00568630212343871,3.7880178561081594e-05,0.0,0.005724182301999791,15120.276170617779,-0.022481661541973508,0.0,0.7566321108044822,0.24336788919551777
2020-08-26,model,0.00659345141207329,3.7880178561081594e-05,0.0,0.006631331590634371,15220.543735647112,-0.015999413303732446,0.0,0.7566321108044822,0.24336788919551777
2020-08-27,model,-0.002145822582380303,3.7880178561081594e-05,0.0,-0.002107942403819222,15188.459706097558,-0.0180736298658124,0.0,0.7566321108044822,0.24336788919551777
2020-08-28,model,0.009032789229167658,3.7880178561081594e-05,0.0,0.00907066940772874,15326.229202904176,-0.009166900379594223,0.0,0.7566321108044822,0.24336788919551777
2020-08-31,model,0.005914361895638763,3.7880178561081594e-05,0.0007566321108044823,0.005195609963395362,15405.858312052065,-0.004018918055144538,0.7566321108044822,0.7566321108044822,0.24336788919551777
2020-09-01,model,-0.0022144991262969425,6.225994511650512e-05,0.0,-0.002152239181180437,15372.701220173152,-0.006162507563420738,0.0,0.6,0.4
2020-09-02,model,-0.0002449777399928021,6.225994511650512e-05,0.0,-0.000182717794876297,15369.89235410491,-0.006344099358504107,0.0,0.6,0.4
2020-09-03,model,-0.007716885776893656,6.225994511650512e-05,0.0,-0.007654625831777151,15252.241579059544,-0.01395016348345235,0.0,0.6,0.4
2020-09-04,model,0.012391008683469717,6.225994511650512e-05,0.0,0.012453268628586221,15442.181840631665,-0.0016706199881382222,0.0,0.6,0.4
2020-09-08,model,-0.007447757531402532,6.225994511650512e-05,0.0,-0.007385497586286027,15328.13364392069,-0.009043779214534364,0.0,0.6,0.4
2020-09-09,model,0.0015443286178766335,6.225994511650512e-05,0.0,0.0016065885629931386,15352.759648125046,-0.007451720283793373,0.0,0.6,0.4
2020-09-10,model,-0.005106018877150254,6.225994511650512e-05,0.0,-0.0050437589320337485,15275.324029518446,-0.012457894535086722,0.0,0.6,0.4
2020-09-11,model,0.010023254893737432,6.225994511650512e-05,0.0,0.010085514838853936,15429.383536686457,-0.0024980239764272882,0.0,0.6,0.4
2020-09-14,model,-0.0011184354414956244,6.225994511650512e-05,0.0,-0.0010561754963791194,15413.087399870772,-0.0035515611210931164,0.0,0.6,0.4
2020-09-15,model,2.5058850708303826e-05,6.225994511650512e-05,0.0,8.731879582480895e-05,15414.433252102473,-0.003464552443308677,0.0,0.6,0.4
2020-09-16,model,-0.0009272995619884927,6.225994511650512e-05,0.0,-0.0008650396168719876,15401.099156667775,-0.004326595085062501,0.0,0.6,0.4
2020-09-17,model,0.005210726470096905,6.225994511650512e-05,0.0,0.00527298641521341,15482.308943300239,0.0,0.0,0.6,0.4
2020-09-18,model,0.004969463638979388,6.225994511650512e-05,0.0,0.005031723584095893,15560.211642346501,0.0,0.0,0.6,0.4
2020-09-21,model,-0.012859166405164324,6.225994511650512e-05,0.0,-0.01279690646004782,15361.089069460848,-0.01279690646004783,0.0,0.6,0.4
2020-09-22,model,0.0029873918813014596,6.225994511650512e-05,0.0,0.003049651826417965,15407.935042797299,-0.0097862807427882,0.0,0.6,0.4
2020-09-23,model,-0.013041495136564052,6.225994511650512e-05,0.0,-0.012979235191447547,15207.951830062288,-0.022638497494825383,0.0,0.6,0.4
2020-09-24,model,0.0021416980996898927,6.225994511650512e-05,0.0,0.002203958044806398,15241.469517843181,-0.02048443374869513,0.0,0.6,0.4
2020-09-25,model,0.0015138336878741888,6.225994511650512e-05,0.0,0.001576093632990694,15265.491500907676,-0.018940625501311148,0.0,0.6,0.4
2020-09-28,model,-0.0005847961209181519,6.225994511650512e-05,0.0,-0.0005225361758016468,15257.514729357057,-0.019453264515096103,0.0,0.6,0.4
2020-09-29,model,4.439046683295535e-05,6.225994511650512e-05,0.0,0.00010665041194946047,15259.141949588271,-0.019348688801820835,0.0,0.6,0.4
2020-09-30,model,0.007369790188396163,6.225994511650512e-05,0.0003064010220447292,0.007125649111467939,15367.873240863117,-0.012360911657521623,0.3064010220447292,0.6,0.4
2020-10-01,model,-0.010321561759711568,3.4050069656506204e-05,0.0,-0.010287511690055061,15209.776065246455,-0.02252126032440016,0.0,0.7812393210897353,0.21876067891026474
2020-10-02,model,0.005425987451629885,3.4050069656506204e-05,0.0,0.005460037521286391,15292.822013253062,-0.017184189729511745,0.0,0.7812393210897353,0.21876067891026474
2020-10-05,model,0.00184412032756832,3.4050069656506204e-05,0.0,0.0018781703972248261,15321.544538848382,-0.015338294168737221,0.0,0.7812393210897353,0.21876067891026474
2020-10-06,model,-0.004038992143270283,3.4050069656506204e-05,0.0,-0.004004942073613777,15260.182640492,-0.019281807262697237,0.0,0.7812393210897353,0.21876067891026474
2020-10-07,model,0.011105679940383507,3.4050069656506204e-05,0.0,0.011139730010040014,15430.176955010978,-0.00835687137966934,0.0,0.7812393210897353,0.21876067891026474
2020-10-08,model,0.0018095764684242352,3.4050069656506204e-05,0.0,0.0018436265380807413,15458.62443873252,-0.006528651791439466,0.0,0.7812393210897353,0.21876067891026474
2020-10-09,model,0.00897580187449062,3.4050069656506204e-05,0.0,0.009009851944147128,15597.904356185672,0.0,0.0,0.7812393210897353,0.21876067891026474
2020-10-12,model,-0.005480162552635972,3.4050069656506204e-05,0.0,-0.005446112482979466,15512.95641456313,-0.005446112482979437,0.0,0.7812393210897353,0.21876067891026474
2020-10-13,model,-0.0048081981994383335,3.4050069656506204e-05,0.0,-0.004774148129781827,15438.895262709157,-0.010194260065036098,0.0,0.7812393210897353,0.21876067891026474
2020-10-14,model,0.0023750895386547475,3.4050069656506204e-05,0.0,0.0024091396083112536,15476.089716795115,-0.007809679852425089,0.0,0.7812393210897353,0.21876067891026474
2020-10-15,model,0.004646845443586723,3.4050069656506204e-05,0.0,0.004680895513243229,15548.531675713011,-0.003165340634562974,0.0,0.7812393210897353,0.21876067891026474
2020-10-16,model,-0.0039601871432865315,3.4050069656506204e-05,0.0,-0.003926137073630025,15487.486009060485,-0.007079050146976851,0.0,0.7812393210897353,0.21876067891026474
2020-10-19,model,0.0022128194194351316,3.4050069656506204e-05,0.0,0.0022468694890916377,15522.284368836976,-0.004848086359672266,0.0,0.7812393210897353,0.21876067891026474
2020-10-20,model,0.006205513494372247,3.4050069656506204e-05,0.0,0.0062395635640287534,15619.136648815263,0.0,0.0,0.7812393210897353,0.21876067891026474
2020-10-21,model,0.005450662733177615,3.4050069656506204e-05,0.0,0.005484712802834121,15704.803127562236,0.0,0.0,0.7812393210897353,0.21876067891026474
2020-10-22,model,-0.004346632752570319,3.4050069656506204e-05,0.0,-0.004312582682913813,15637.074865555742,-0.00431258268291379,0.0,0.7812393210897353,0.21876067891026474
2020-10-23,model,-0.0008294612124362409,3.4050069656506204e-05,0.0,-0.0007954111427797346,15624.6369619672,-0.0051045635493732755,0.0,0.7812393210897353,0.21876067891026474
2020-10-26,model,-0.005154992946417381,3.4050069656506204e-05,0.0,-0.005120942876760875,15544.624088614837,-0.010199366247787056,0.0,0.7812393210897353,0.21876067891026474
2020-10-27,model,-0.0008762965479155981,3.4050069656506204e-05,0.0,-0.0008422464782590919,15531.531683720339,-0.011033022345743548,0.0,0.7812393210897353,0.21876067891026474
2020-10-28,model,-0.010347251535811959,3.4050069656506204e-05,0.0,-0.010313201466155452,15371.351868388154,-0.02123243802966679,0.0,0.7812393210897353,0.21876067891026474
2020-10-29,model,-0.001412899063791244,3.4050069656506204e-05,0.0,-0.0013788489941347379,15350.157095325936,-0.02258201069798127,0.0,0.7812393210897353,0.21876067891026474
2020-10-30,model,7.015270004252674e-05,3.4050069656506204e-05,0.0002984765638556797,-0.00019427379415664676,15347.174962066129,-0.022771897399239904,0.29847656385567967,0.7812393210897353,0.21876067891026474
2020-11-02,model,0.002213011206981964,6.349338594632578e-05,0.0,0.0022765045929282897,15382.112876355744,-0.02054723313533069,0.0,0.5920755418109505,0.40792445818904954
2020-11-03,model,0.0027694707362396946,6.349338594632578e-05,0.0,0.0028329641221860203,15425.689850257875,-0.017772478587427365,0.0,0.5920755418109505,0.40792445818904954
2020-11-04,model,0.0026038896455534786,6.349338594632578e-05,0.0,0.0026673830314998042,15466.836073613633,-0.015152501563739262,0.0,0.5920755418109505,0.40792445818904954
2020-11-05,model,0.003871139598561298,6.349338594632578e-05,0.0,0.003934632984507624,15527.692396994844,-0.011277488111682277,0.0,0.5920755418109505,0.40792445818904954
2020-11-06,model,0.005046198589902395,6.349338594632578e-05,0.0,0.005109691975848721,15607.034122239214,-0.006225420626345568,0.0,0.5920755418109505,0.40792445818904954
2020-11-09,model,6.737773261523278e-05,6.349338594632578e-05,0.0,0.00013087111856155856,15609.07663225222,-0.00609536423554502,0.0,0.5920755418109505,0.40792445818904954
2020-11-10,model,0.0038614319923242716,6.349338594632578e-05,0.0,0.003924925378270597,15670.341093257513,-0.002194362707052422,0.0,0.5920755418109505,0.40792445818904954
2020-11-11,model,-0.0020930652283107447,6.349338594632578e-05,0.0,-0.002029571842364419,15638.537010214393,-0.004219480932654673,0.0,0.5920755418109505,0.40792445818904954
2020-11-12,model,-0.001590452244571483,6.349338594632578e-05,0.0,-0.0015269588586251572,15614.657607590707,-0.005739996817490933,0.0,0.5920755418109505,0.40792445818904954
2020-11-13,model,0.004415399826825773,6.349338594632578e-05,0.0,0.004478893212772099,15684.593991569107,-0.0012868124375059464,0.0,0.5920755418109505,0.40792445818904954
2020-11-16,model,0.009537248430150965,6.349338594632578e-05,0.0,0.009600741816097292,15835.177728972472,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-17,model,0.0011032591187158521,6.349338594632578e-05,0.0,0.001166752504662178,15853.65346224952,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-18,model,0.0006348430390307883,6.349338594632578e-05,0.0,0.0006983364249771141,15864.724645931172,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-19,model,0.00030710662998643186,6.349338594632578e-05,0.0,0.0003706000159327576,15870.604113137722,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-20,model,0.006393369569346287,6.349338594632578e-05,0.0,0.006456862955292612,15973.078428913956,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-23,model,0.0011937806839910701,6.349338594632578e-05,0.0,0.001257274069937396,15993.160966239708,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-24,model,0.005185189951154827,6.349338594632578e-05,0.0,0.005248683337101153,16077.104003710785,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-25,model,-0.0018758654130472943,6.349338594632578e-05,0.0,-0.0018123720271009684,16047.966310137666,-0.0018123720271009391,0.0,0.5920755418109505,0.40792445818904954
2020-11-27,model,0.010864728997684273,6.349338594632578e-05,0.0,0.010928222383630599,16223.342054779863,0.0,0.0,0.5920755418109505,0.40792445818904954
2020-11-30,model,0.0011282030508745883,6.349338594632578e-05,7.924458189049577e-06,0.0011837719786318647,16242.546792504072,0.0,0.007924458189049577,0.5920755418109505,0.40792445818904954
2020-12-01,model,0.002207578176524627,6.225994511650512e-05,0.0,0.002269838121641132,16279.414744406235,0.0,0.0,0.6,0.4
2020-12-02,model,0.00017044568022946957,6.225994511650512e-05,0.0,0.0002327056253459747,16283.203055794596,0.0,0.0,0.6,0.4
2020-12-03,model,-0.002299654517723493,6.225994511650512e-05,0.0,-0.0022373945726069876,16246.771105652906,-0.0022373945726068545,0.0,0.6,0.4
2020-12-04,model,0.0014979146548437794,6.225994511650512e-05,0.0,0.0015601745999602845,16272.118905263314,-0.0006807106988288014,0.0,0.6,0.4
2020-12-07,model,-0.0008841619182529681,6.225994511650512e-05,0.0,-0.000821901973136463,16258.744818627969,-0.0015020531944988091,0.0,0.6,0.4
2020-12-08,model,-0.002498280102066619,6.225994511650512e-05,0.0,-0.0024360201569501136,16219.138188523084,-0.003934414319590296,0.0,0.6,0.4
2020-12-09,model,0.0010064766314472396,6.225994511650512e-05,0.0,0.0010687365765637447,16236.4721747455,-0.002869882595517237,0.0,0.6,0.4
2020-12-10,model,0.008158809765273722,6.225994511650512e-05,0.0,0.008221069710390227,16369.953344344893,0.0,0.0,0.6,0.4
2020-12-11,model,-0.0007819273725581332,6.225994511650512e-05,0.0,-0.0007196674274416281,16358.172422134227,-0.0007196674274416726,0.0,0.6,0.4
2020-12-14,model,-0.001232878824049044,6.225994511650512e-05,0.0,-0.001170618878932539,16339.023236672043,-0.001889443850097039,0.0,0.6,0.4
2020-12-15,model,0.0023695788221396175,6.225994511650512e-05,0.0,0.0024318387672561228,16378.75710679808,0.0,0.0,0.6,0.4
2020-12-16,model,0.0018342679008851003,6.225994511650512e-05,0.0,0.0018965278460016054,16409.81987573402,0.0,0.0,0.6,0.4
2020-12-17,model,0.005411453852999326,6.225994511650512e-05,0.0,0.005473713798115831,16499.642533212424,0.0,0.0,0.6,0.4
2020-12-18,model,0.0016121922030014168,6.225994511650512e-05,0.0,0.001674452148117922,16527.27039509534,0.0,0.0,0.6,0.4
2020-12-21,model,-0.0019954282032462415,6.225994511650512e-05,0.0,-0.0019331682581297364,16495.320400574015,-0.001933168258129725,0.0,0.6,0.4
2020-12-22,model,-0.007229067403332844,6.225994511650512e-05,0.0,-0.007166807458216339,16377.101615301512,-0.009086121071655628,0.0,0.6,0.4
2020-12-23,model,0.006107447074616634,6.225994511650512e-05,0.0,0.00616970701973314,16478.14353410032,-0.0029724727568805065,0.0,0.6,0.4
2020-12-24,model,0.0014967792939718284,6.225994511650512e-05,0.0,0.0015590392390883335,16503.833606457312,-0.0014180677194572944,0.0,0.6,0.4
2020-12-28,model,0.0013163768767936344,6.225994511650512e-05,0.0,0.0013786368219101395,16526.586399169853,-4.138589792113123e-05,0.0,0.6,0.4
2020-12-29,model,-0.0018879805040927901,6.225994511650512e-05,0.0,-0.001825720558976285,16496.41347061119,-0.0018670308978127048,0.0,0.6,0.4
2020-12-30,model,0.0026246986787148204,6.225994511650512e-05,0.0,0.0026869586238313257,16540.738651048337,0.0,0.0,0.6,0.4
2020-12-31,model,-3.104943593801486e-06,6.225994511650512e-05,0.0003,-0.00024084499847729633,16536.754896873113,-0.00024084499847731866,0.3,0.6,0.4
2021-01-04,model,-0.0005576191002938823,0.00010895490395388396,0.0,-0.0004486641963399984,16529.335447027235,-0.0006894011362896801,0.0,0.3,0.7
2021-01-05,model,0.0016759926070475384,0.00010895490395388396,0.0,0.0017849475110014224,16558.839443191915,0.0,0.0,0.3,0.7
2021-01-06,model,-0.0012963322587658643,0.00010895490395388396,0.0,-0.0011873773548119802,16539.1778522151,-0.0011873773548120026,0.0,0.3,0.7
2021-01-07,model,-0.00018594807926017865,0.00010895490395388396,0.0,-7.69931753062947e-05,16537.904448395304,-0.0012642791101654671,0.0,0.3,0.7
2021-01-08,model,0.0003721871511059849,0.00010895490395388396,0.0,0.0004811420550598688,16545.86152972799,-0.0007837453529547789,0.0,0.3,0.7
2021-01-11,model,-0.002230456313308593,0.00010895490395388396,0.0,-0.002121501409354709,16510.759461173682,-0.0029035840454386674,0.0,0.3,0.7
2021-01-12,model,0.004681633096101833,0.00010895490395388396,0.0,0.004790588000055717,16589.85570732019,0.0,0.0,0.3,0.7
2021-01-13,model,0.0011063072886712932,0.00010895490395388396,0.0,0.0012152621926251773,16610.0167317424,0.0,0.0,0.3,0.7
2021-01-14,model,0.003306826946971908,0.00010895490395388396,0.0,0.003415781850925792,16666.752925438257,0.0,0.0,0.3,0.7
